id;nombre;email;telefono;asunto;mensaje;fecha_envio;atendido
1;rebuke psst;Olivia.VillalpandoEspinal@gmail.com;how nocturnal insist;anaesthetise;../fake-data/blob/hipster.txt;2026-04-13T21:43:46;false
2;big opposite;Manuela_GalvezMuniz@gmail.com;whoa mmm discontinue;true without trial;../fake-data/blob/hipster.txt;2026-04-14T08:40:00;false
3;buttery;Timoteo94@gmail.com;crocodile;apud;../fake-data/blob/hipster.txt;2026-04-14T08:11:25;true
4;mockingly;Carmen.deJesusEspino@hotmail.com;pfft damp gratefully;willfully nor mockingly;../fake-data/blob/hipster.txt;2026-04-14T12:15:30;true
5;off meander for;Jose_SalinasVela88@yahoo.com;silver although unbalance;apropos gymnast remarkable;../fake-data/blob/hipster.txt;2026-04-13T19:27:23;true
6;pixellate minion plus;Ruben_MonroyPalomo@gmail.com;baggy splurge;unless grimy;../fake-data/blob/hipster.txt;2026-04-14T12:45:05;false
7;conjecture;Enrique_LuevanoAlcala6@hotmail.com;yahoo countess grandson;gosh;../fake-data/blob/hipster.txt;2026-04-14T14:14:48;false
8;indeed;Jose42@hotmail.com;playfully if;blah aw;../fake-data/blob/hipster.txt;2026-04-13T22:12:11;true
9;mothball dependable hence;Ricardo23@gmail.com;towards if;phooey across oof;../fake-data/blob/hipster.txt;2026-04-14T05:20:20;true
10;yowza;Maria_OrozcoCeja@gmail.com;meanwhile;solace scoop;../fake-data/blob/hipster.txt;2026-04-14T12:46:08;true
