id;nombre_cliente;email;telefono;nombre_empresa;descripcion;cantidad;fecha_solicitud;estado;observaciones_internas
1;meh;JoseEmilio_VallejoOlivarez@hotmail.com;along;past hastily on;../fake-data/blob/hipster.txt;14404;2026-04-14T10:32:42;PRESUPUESTADO;../fake-data/blob/hipster.txt
2;after following uselessly;Adriana43@gmail.com;ha crystallize highlight;whoa;../fake-data/blob/hipster.txt;16476;2026-04-14T12:16:05;PENDIENTE;../fake-data/blob/hipster.txt
3;vague;Leonor67@hotmail.com;probate;gah;../fake-data/blob/hipster.txt;21704;2026-04-14T14:59:35;PENDIENTE;../fake-data/blob/hipster.txt
4;postbox soliloquy;Pilar.IrizarryMacias@yahoo.com;indeed bank pressure;because;../fake-data/blob/hipster.txt;23990;2026-04-14T12:27:44;RECHAZADO;../fake-data/blob/hipster.txt
5;magnificent empty utilization;Elena_MurilloAlanis@yahoo.com;now narrowcast blah;riser colon;../fake-data/blob/hipster.txt;5850;2026-04-14T04:06:54;FINALIZADO;../fake-data/blob/hipster.txt
6;vista plait reflecting;Enrique47@gmail.com;spectacles bah;matter horde;../fake-data/blob/hipster.txt;10346;2026-04-14T02:27:53;PENDIENTE;../fake-data/blob/hipster.txt
7;wherever opposite ew;JuanCarlos.CalvilloAlmonte41@yahoo.com;glisten;kiss rosemary anti;../fake-data/blob/hipster.txt;18723;2026-04-14T00:31:22;ACEPTADO;../fake-data/blob/hipster.txt
8;character a soon;Cecilia.GuajardoMontoya@gmail.com;yum glorious against;woot definite recede;../fake-data/blob/hipster.txt;13308;2026-04-14T00:48:42;RECHAZADO;../fake-data/blob/hipster.txt
9;furthermore;Armando40@gmail.com;hydrocarbon soybean oh;victoriously;../fake-data/blob/hipster.txt;7300;2026-04-14T11:26:58;FINALIZADO;../fake-data/blob/hipster.txt
10;carefree;Gloria65@hotmail.com;pocket-watch;lest;../fake-data/blob/hipster.txt;22950;2026-04-13T17:51:36;PRESUPUESTADO;../fake-data/blob/hipster.txt
